Run,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_number,sample_type,sex,SRA Study,store_cond,strain,tissue,create_date,version,specimen_voucher,latitude,longitude
SRR2568103,OTHER,81,54815778,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151394,Model organism or animal,not collected,43061278,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Hugo Harrison,2007-01-01,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309462,Oman,Asia,Oman,Illumina HiSeq 2000,not collected,16.969 N 55.085 E,omanensis_TGACCA_ATGAG,SINGLE,Restriction Digest,GENOMIC,Amphiprion omanensis,ILLUMINA,2015-11-01T00:00:00Z,omanensis_TGACCA-ATGAG,8,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T16:39:00Z,1,,16.969,55.085
SRR2568104,OTHER,81,29086128,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151457,Model organism or animal,not collected,19625647,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309463,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum10_TGCAT-GGCTAC,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum10_TGCAT-GGCTAC,71,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:50:00Z,1,,17.787,41.442
SRR2568105,OTHER,81,131258070,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151458,Model organism or animal,not collected,86953764,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309464,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum13_ACTGG-CTTGTA,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum13_ACTGG-CTTGTA,72,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:52:00Z,1,,17.787,41.442
SRR2568106,OTHER,81,71306487,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151459,Model organism or animal,not collected,44982316,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309465,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum3_ACTGG-CAGATC,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum3_ACTGG-CAGATC,73,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:50:00Z,1,,17.787,41.442
SRR2568107,OTHER,81,45991476,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151460,Model organism or animal,not collected,29582800,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309466,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum4_TGCAT-ACTTGA,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum4_TGCAT-ACTTGA,74,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:50:00Z,1,,17.787,41.442
SRR2568108,OTHER,81,99635103,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151461,Model organism or animal,not collected,63837340,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309467,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum5_ACTGG-ACTTGA,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum5_ACTGG-ACTTGA,75,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:50:00Z,1,,17.787,41.442
SRR2568109,OTHER,81,41241960,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151462,Model organism or animal,not collected,27737222,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309468,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum6_TGCAT-GATCAG,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum6_TGCAT-GATCAG,76,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:50:00Z,1,,17.787,41.442
SRR2568110,OTHER,81,152622630,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151463,Model organism or animal,not collected,100525652,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309469,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum7_ACTGG-GATCAG,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum7_ACTGG-GATCAG,77,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:50:00Z,1,,17.787,41.442
SRR2568111,OTHER,81,32139018,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151464,Model organism or animal,not collected,21661859,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309470,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum8_TGCAT-TAGCTT,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum8_TGCAT-TAGCTT,78,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:50:00Z,1,,17.787,41.442
SRR2568112,OTHER,81,137871720,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151465,Model organism or animal,not collected,91061969,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2009-10-07,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309471,Saudi Arabia,Asia,Saudi Arabia: Sumayr,Illumina HiSeq 2000,not collected,17.787 N 41.442 E,site20_Amph_Sum9_ACTGG-TAGCTT,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site20_Amph_Sum9_ACTGG-TAGCTT,79,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:50:00Z,1,,17.787,41.442
